"DMID","Name","Description","DMStructureID"
112,"50% Commercial thinning","50% Commercial thinning",2
113,"55% Commercial thinning","55% Commercial thinning",2
114,"60% Commercial thinning","60% Commercial thinning",2
115,"65% Commercial thinning","65% Commercial thinning",2
116,"70% Commercial thinning","70% Commercial thinning",2
117,"75% Commercial thinning","75% Commercial thinning",2
135,"97% clearcut","Sylva II CPRS clearcut 97%",2
136,"85% precommercial thinning","Sylva II EPC precommercial thinning 85%",2
137,"Roads and landings","Temporary road and landing construction",2
138,"Planting","Planting (forest management activity, not afforestation!)",2
142,"Clearcut with slash-burn - Taiga Plains DM","Default Clearcut with slash-burn Disturbance Matrix for Taiga Plains ecozone",2
143,"Clearcut with slash-burn - Taiga Shield West DM","Default Clearcut with slash-burn Disturbance Matrix for Taiga Shield West ecozone",2
144,"Clearcut with slash-burn - Taiga Shield East DM","Default Clearcut with slash-burn Disturbance Matrix for Taiga Shield East ecozone",2
145,"Clearcut with slash-burn - Boreal Shield West DM","Default Clearcut with slash-burn Disturbance Matrix for Boreal Shield West ecozone",2
146,"Clearcut with slash-burn - Boreal plains DM","Default Clearcut with slash-burn Disturbance Matrix for Boreal plains ecozone",2
147,"Clearcut with slash-burn - Atlantic Maritime DM","Default Clearcut with slash-burn Disturbance Matrix for Atlantic Maritime ecozone",2
148,"Clearcut with slash-burn - Mixedwood Plains DM","Default Clearcut with slash-burn Disturbance Matrix for Mixedwood Plains ecozone",2
149,"Clearcut with slash-burn - Subhumid Prairies DM","Default Clearcut with slash-burn Disturbance Matrix for Subhumid Prairies ecozone",2
150,"Clearcut with slash-burn - Taiga Cordillera DM","Default Clearcut with slash-burn Disturbance Matrix for Taiga Cordillera ecozone",2
151,"Clearcut with slash-burn - Boreal Cordillera DM","Default Clearcut with slash-burn Disturbance Matrix for Boreal Cordillera ecozone",2
152,"Clearcut with slash-burn - Montane Cordillera DM","Default Clearcut with slash-burn Disturbance Matrix for Montane Cordillera ecozone",2
153,"Clearcut with slash-burn - Pacific Maritime DM","Default Clearcut with slash-burn Disturbance Matrix for Pacific Maritime ecozone",2
154,"Clearcut with slash-burn - Hudson Plains DM","Default Clearcut with slash-burn Disturbance Matrix for Hudson Plains ecozone",2
155,"Clearcut with slash-burn - Boreal Shield East DM","Default Clearcut with slash-burn Disturbance Matrix for Boreal Shield East ecozone",2
156,"Stand Replacing Natural Succession","Stand Replacing Natural Succession",2
157,"20% Commercial thinning","20% Commercial thinning",2
158,"15% Commercial thinning","15% Commercial thinning",2
159,"10% Commercial thinning","10% Commercial thinning",2
160,"Stand Replacing Matrix for Clearcut Harvest without Salvage","Default Stand Replacing Matrix for Clearcut Harvest without Salvage",2
209,"Salvage, uprooting and decay for All Eco Boundaries","Salvage, uprooting and decay for All Eco Boundaries",2
210,"Salvage, uprooting and burn for Taiga Plains","Salvage, uprooting and burn for Taiga Plains",2
211,"Salvage, uprooting and burn for Taiga Shield West","Salvage, uprooting and burn for Taiga Shield West",2
212,"Salvage, uprooting and burn for Taiga Shield East","Salvage, uprooting and burn for Taiga Shield East",2
213,"Salvage, uprooting and burn for Boreal Shield West","Salvage, uprooting and burn for Boreal Shield West",2
214,"Salvage, uprooting and burn for Boreal Plains","Salvage, uprooting and burn for Boreal Plains",2
215,"Salvage, uprooting and burn for Atlantic Maritime","Salvage, uprooting and burn for Atlantic Maritime",2
216,"Salvage, uprooting and burn for Mixedwood Plains","Salvage, uprooting and burn for Mixedwood Plains",2
217,"Salvage, uprooting and burn for Subhumid Prairies","Salvage, uprooting and burn for Subhumid Prairies",2
218,"Salvage, uprooting and burn for Taiga Cordillera","Salvage, uprooting and burn for Taiga Cordillera",2
219,"Salvage, uprooting and burn for Boreal Cordillera","Salvage, uprooting and burn for Boreal Cordillera",2
220,"Salvage, uprooting and burn for Montane Cordillera","Salvage, uprooting and burn for Montane Cordillera",2
221,"Salvage, uprooting and burn for Pacific Maritime","Salvage uprooting and burn for Pacific Maritime",2
222,"Salvage, uprooting and burn for Hudson Plains","Salvage, uprooting and burn for Hudson Plains",2
223,"Salvage, uprooting and burn for Boreal Shield East","Salvage, uprooting and burn for Boreal Shield East",2
224,"Salvage, uprooting and burn for Semiarid Prairies","Salvage, uprooting and burn for Semiarid Prairies",2
225,"Flooding for All Eco Boundaries","Flooding for All Eco Boundaries",2
226,"Burn only for All Eco Boundaries","This matrix is used to represent forest removal practices associated with reservoirs in northern Quebec.",2
227,"Uprooting and decay for All Eco Boundaries","Uprooting and decay for All Eco Boundaries",2
228,"Deforestation by Ice Storm for All Eco Boundaries","Deforestation by Ice Storm for All Eco Boundaries",2
229,"Uprooting and burn for All Eco Boundaries","Uprooting and burn for All Eco Boundaries",2
281,"Wildfire - Taiga Plains DM","Wildfire - Taiga Plains DM",2
282,"Wildfire - Taiga Shield West DM","Wildfire - Taiga Shield West DM",2
283,"Wildfire - Taiga Shield East DM","Wildfire - Taiga Shield East DM",2
284,"Wildfire - Boreal Shield West DM","Wildfire - Boreal Shield West DM",2
285,"Wildfire - Boreal Plains DM","Wildfire - Boreal Plains DM",2
286,"Wildfire - Atlantic Maritime DM","Wildfire - Atlantic Maritime DM",2
287,"Wildfire - Mixedwood Plains DM","Wildfire - Mixedwood Plains DM",2
288,"Wildfire - Prairies DM","Wildfire - Prairies DM",2
289,"Wildfire - Taiga Cordillera DM","Wildfire - Taiga Cordillera DM",2
290,"Wildfire - Boreal Cordillera DM","Wildfire - Boreal Cordillera DM",2
291,"Wildfire - Montane Cordillera DM","Wildfire - Montane Cordillera DM",2
292,"Wildfire - Pacific Maritime DM","Wildfire - Pacific Maritime DM",2
293,"Wildfire - Hudson Plains DM","Wildfire - Hudson Plains DM",2
294,"Wildfire - Boreal Shield East DM","Wildfire - Boreal Shield East DM",2
295,"Deforestation - Hydro reservoir - Salvage and decay","Fixed deforestation - Hydro reservoir - salvage and decay (moves Fine Roots to BGVF, AGVF, and AGF to BG)",2
296,"Deforestation - Hydro reservoir - No salvage or burn","Fixed deforestation - Hydro reservoir - no salvage or burn (moves roots to BG, and VF, F to BG)",2
297,"Deforestation - Hydro reservoir - Burn","Fixed deforestation - Hydro reservoir - Burn (moves roots to BG, and VF and F to BG)",2
298,"Deforestation - Hydro reservoir - Salvage and burn","Fixed deforestation - Hydro reservoir - Salvage and burn (moved roots to BG, and VF and F to BG)",2
299,"Deforestation - Hydro reservoir - Salvage and burn","Fixed deforestation - Hydro reservoir - Salvage and burn (moves roots to BG, and VF and F to BG)",2
300,"Deforestation - Hydro reservoir - Salvage and burn","Fixed deforestation - Hydro reservoir - Salvage and burn (moves roots to BG, and VF and F to BG)",2
301,"Deforestation - Hydro reservoir - Salvage and burn","Fixed deforestation - Hydro reservoir - Salvage and burn (moves roots to BG, and VF and F to BG)",2
302,"Deforestation - Hydro reservoir - Salvage and burn","Fixed deforestation - Hydro reservoir - Salvage and burn (moves roots to BG, and VF and F to BG)",2
303,"Deforestation - Hydro reservoir - Salvage and burn","Fixed deforestation - Hydro reservoir - Salvage and burn (moves roots to BG, and VF and F to BG)",2
304,"Deforestation - Hydro reservoir - Salvage and burn","Fixed deforestation - Hydro reservoir - Salvage and burn (moves roots to BG, and VF and F to BG)",2
305,"Deforestation - Hydro reservoir - Salvage and burn","Fixed deforestation - Hydro reservoir - Salvage and burn (moves roots to BG, and VF and F to BG)",2
306,"Deforestation - Hydro reservoir - Salvage and burn","Fixed deforestation - Hydro reservoir - Salvage and burn (moves roots to BG, and VF and F to BG)",2
307,"Deforestation - Hydro reservoir - Salvage and burn","Fixed deforestation - Hydro reservoir - Salvage and burn (moves roots to BG, and VFand F to BG)",2
308,"Deforestation - Hydro reservoir - Salvage and burn","Fixed deforestation - Hydro reservoir - Salvage and burn (moves roots to BG, and VF and F to BG)",2
309,"Deforestation - Hydro reservoir - Salvage and burn","Fixed deforestation - Hydro reservoir - Salvage and burn (moves roots to BG, and VF and F to BG)",2
310,"Deforestation - Hydro reservoir - Salvage and burn","Fixed deforestation - Hydro reservoir - Salvage and burn (moves roots to BG, and VF and F to BG)",2
311,"Deforestation - Hydro reservoir - Salvage and burn","Fixed deforestation - Hydro reservoir - Salvage and burn (moves roots to BG, and VF and F to BG)",2
361,"Wildfire for New Brunswick - Atlantic Maritimes (NIR2011)","Wildfire for New Brunswick - Atlantic Maritimes (NIR2011)",2
362,"Wildfire for Nova Scotia - Atlantic Maritimes (NIR2011)","Wildfire for Nova Scotia - Atlantic Maritimes (NIR2011)",2
363,"Wildfire for Quebec - Atlantic Maritimes (NIR2011)","Wildfire for Quebec - Atlantic Maritimes (NIR2011)",2
364,"Wildfire for British Columbia - Boreal Cordillera (NIR2011)","Wildfire for British Columbia - Boreal Cordillera (NIR2011)",2
365,"Wildfire for Northwest Territories - Boreal Cordillera (NIR2011)","Wildfire for Northwest Territories - Boreal Cordillera (NIR2011)",2
366,"Wildfire for Yukon Territory - Boreal Cordillera (NIR2011)","Wildfire for Yukon Territory - Boreal Cordillera (NIR2011)",2
367,"Wildfire for Alberta - Boreal Plains (NIR2011)","Wildfire for Alberta - Boreal Plains (NIR2011)",2
368,"Wildfire for British Columbia - Boreal Plains (NIR2011)","Wildfire for British Columbia - Boreal Plains (NIR2011)",2
369,"Wildfire for Manitoba - Boreal Plains (NIR2011)","Wildfire for Manitoba - Boreal Plains (NIR2011)",2
370,"Wildfire for Northwest Territories - Boreal Plains (NIR2011)","Wildfire for Northwest Territories - Boreal Plains (NIR2011)",2
371,"Wildfire for Saskatchewan - Boreal Plains (NIR2011)","Wildfire for Saskatchewan - Boreal Plains (NIR2011)",2
372,"Wildfire for Newfoundland - Boreal Shield East (NIR2011)","Wildfire for Newfoundland - Boreal Shield East (NIR2011)",2
373,"Wildfire for Ontario - Boreal Shield East (NIR2011)","Wildfire for Ontario - Boreal Shield East (NIR2011)",2
374,"Wildfire for Quebec - Boreal Shield East (NIR2011)","Wildfire for Quebec - Boreal Shield East (NIR2011)",2
375,"Wildfire for Alberta - Boreal Shield West (NIR2011)","Wildfire for Alberta - Boreal Shield West (NIR2011)",2
376,"Wildfire for Manitoba - Boreal Shield West (NIR2011)","Wildfire for Manitoba - Boreal Shield West (NIR2011)",2
377,"Wildfire for Ontario - Boreal Shield West (NIR2011)","Wildfire for Ontario - Boreal Shield West (NIR2011)",2
378,"Wildfire for Saskatchewan - Boreal Shield West (NIR2011)","Wildfire for Saskatchewan - Boreal Shield West (NIR2011)",2
379,"Wildfire for Alberta - Montane Cordillera (NIR2011)","Wildfire for Alberta - Montane Cordillera (NIR2011)",2
380,"Wildfire for British Columbia - Montane Cordillera (NIR2011)","Wildfire for British Columbia - Montane Cordillera (NIR2011)",2
381,"Wildfire for British Columbia - Pacific Maritime (NIR2011)","Wildfire for British Columbia - Pacific Maritime (NIR2011)",2
382,"Wildfire for Northwest Territories - Taiga Cordillera (NIR2011)","Wildfire for Northwest Territories - Taiga Cordillera (NIR2011)",2
383,"Wildfire for Yukon Territory - Taiga Cordillera (NIR2011)","Wildfire for Yukon Territory - Taiga Cordillera (NIR2011)",2
384,"Wildfire for Alberta - Taiga Plains (NIR2011)","Wildfire for Alberta - Taiga Plains (NIR2011)",2
385,"Wildfire for British Columbia - Taiga Plains (NIR2011)","Wildfire for British Columbia - Taiga Plains (NIR2011)",2
386,"Wildfire for Northwest Territories - Taiga Plains (NIR2011)","Wildfire for Northwest Territories - Taiga Plains (NIR2011)",2
387,"Wildfire for Yukon Territory - Taiga Plains (NIR2011)","Wildfire for Yukon Territory - Taiga Plains (NIR2011)",2
388,"Wildfire for Quebec - Taiga Shield East (NIR2011)","Wildfire for Quebec - Taiga Shield East (NIR2011)",2
389,"Wildfire for Alberta - Taiga Shield West (NIR2011)","Wildfire for Alberta - Taiga Shield West (NIR2011)",2
390,"Wildfire for Northwest Territories - Taiga Shield West (NIR2011)","Wildfire for Northwest Territories - Taiga Shield West (NIR2011)",2
391,"Wildfire for Alberta - Semi Arid Prairies (NIR2011)","Wildfire for Alberta - Semi Arid Prairies (NIR2011)",2
392,"Wildfire for Saskatchewan - Semi Arid Prairies (NIR2011)","Wildfire for Saskatchewan - Semi Arid Prairies (NIR2011)",2
393,"Wildfire for Alberta - Sub Humid Prairies (NIR2011)","Wildfire for Alberta - Sub Humid Prairies (NIR2011)",2
394,"Wildfire for Manitoba - Sub Humid Prairies (NIR2011)","Wildfire for Manitoba - Sub Humid Prairies (NIR2011)",2
395,"Wildfire for Saskatchewan - Sub Humid Prairies (NIR2011)","Wildfire for Saskatchewan - Sub Humid Prairies (NIR2011)",2
396,"Wildfire for Yukon - Pacific Maritime (NIR2011)","Wildfire for Yukon - Pacific Maritime (NIR2011)",2
397,"Wildfire for Ontario - Hudson Plains (NIR2011)","Wildfire for Ontario - Hudson Plains (NIR2011)",2
398,"Wildfire for Quebec - Hudson Plains (NIR2011)","Wildfire for Quebec - Hudson Plains (NIR2011)",2
399,"Wildfire for Manitoba - Hudson Plains (NIR2011)","Wildfire for Manitoba - Hudson Plains (NIR2011)",2
400,"Wildfire for Nunavut - Hudson Plains (NIR2011)","Wildfire for Nunavut - Hudson Plains (NIR2011)",2
401,"Wildfire for Labrador - Boreal Shield East (NIR2011)","Wildfire for Labrador - Boreal Shield East (NIR2011)",2
402,"Wildfire for Ontario - Mixedwood Plains (NIR2011)","Wildfire for Ontario - Mixedwood Plains (NIR2011)",2
403,"Wildfire for Quebec - Mixedwood Plains (NIR2011)","Wildfire for Quebec - Mixedwood Plains (NIR2011)",2
404,"Wildfire for Prince Edward Island - Atlantic Maritime (NIR2011)","Wildfire for Prince Edward Island - Atlantic Maritime (NIR2011)",2
405,"Wildfire for Saskatchewan - Taiga Shield West (NIR2011)","Wildfire for Saskatchewan - Taiga Shield West (NIR2011)",2
406,"Wildfire for Manitoba - Taiga Shield West (NIR2011)","Wildfire for Manitoba - Taiga Shield West (NIR2011)",2
407,"Wildfire for Labrador - Taiga Shield East (NIR2011)","Wildfire for Labrador - Taiga Shield East (NIR2011)",2
408,"Wildfire for Nunavut - Taiga Shield West (NIR2011)","Wildfire for Nunavut - Taiga Shield West (NIR2011)",2
424,"Firewood Collection-SW","SW firewood collection (live biomass)",2
425,"Firewood Collection-HW","HW firewood collection (live biomass)",2
426,"DOM Firewood Collection","Firewood collection from post-disturbance sites",2
427,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation > 85%","Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation > 85%",2
428,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 76-85%","Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 76-85%",2
429,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 66-75%","Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 66-75%",2
430,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 56-65%","Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 56-65%",2
431,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 46-55%","Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 46-55%",2
432,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 36-45%","Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 36-45%",2
433,"Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 0-35%","Spruce Budworm in QC, Severe annual defoliation, 6yr cumulative defoliation 0-35%",2
434,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation > 85%","Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation > 85%",2
435,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 76-85%","Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 76-85%",2
436,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 66-75%","Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 66-75%",2
437,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 56-65%","Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 56-65%",2
438,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 46-55%","Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 46-55%",2
439,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 36-45%","Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 36-45%",2
440,"Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 0-35%","Spruce Budworm in QC, Moderate annual defoliation, 6yr cumulative defoliation 0-35%",2
441,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation > 85%","Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation > 85%",2
442,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 76-85%","Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 76-85%",2
443,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 66-75%","Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 66-75%",2
444,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 56-65%","Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 56-65%",2
445,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 46-55%","Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 46-55%",2
446,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 36-45%","Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 36-45%",2
447,"Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 0-35%","Spruce Budworm in QC, Light annual defoliation, 6yr cumulative defoliation 0-35%",2
448,"Balsam bark beetle in BC, Very Severe","Balsam bark beetle in BC, Very Severe",2
449,"Balsam bark beetle in BC, Severe","Balsam bark beetle in BC, Severe",2
450,"Balsam bark beetle in BC, Moderate","Balsam bark beetle in BC, Moderate",2
451,"Balsam bark beetle in BC, Light","Balsam bark beetle in BC, Light",2
452,"Douglas Fir Beetle in BC, Very Severe","Douglas Fir Beetle in BC, Very Severe",2
453,"Douglas Fir Beetle in BC, Severe","Douglas Fir Beetle in BC, Severe",2
454,"Douglas Fir Beetle in BC, Moderate","Douglas Fir Beetle in BC, Moderate",2
455,"Douglas Fir Beetle in BC, Light","Douglas Fir Beetle in BC, Light",2
456,"Spruce Beetle in BC, Very Severe","Spruce Beetle in BC, Very Severe",2
457,"Spruce Beetle in BC, Severe","Spruce Beetle in BC, Severe",2
458,"Spruce Beetle in BC, Moderate","Spruce Beetle in BC, Moderate",2
459,"Spruce Beetle in BC, Light","Spruce Beetle in BC, Light",2
460,"Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation > 85%","Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation > 85%",2
461,"Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 76-85%","Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 76-85%",2
462,"Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 66-75%","Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 66-75%",2
463,"Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 56-65%","Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 56-65%",2
464,"Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 46-55%","Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 46-55%",2
465,"Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 36-45%","Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 36-45%",2
466,"Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 0-35%","Spruce Budworm in AB, SK, MB, NWT, Severe annual defoliation, 6yr cumulative defoliation 0-35%",2
467,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation > 85%","Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation > 85%",2
468,"Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation 76-85%","Spruce Budworm in AB, SK, MB, NWT, Moderate annual defoliation, 6yr cumulative defoliation 76-85%",2
