DefaultDisturbanceTypeId,DefaultEcoBoundaryId,AnnualOrder,DMId,Name,Description
1,18,1,288,Wild Fire-Semiarid Prairies DM,Default Wild Fire Disturbance Matrix for Semiarid Prairies ecozone
2,4,1,10,Insects-Taiga Plains DM,Default Insects Disturbance Matrix for Taiga Plains ecozone
2,5,1,10,Insects-Taiga Shield West DM,Default Insects Disturbance Matrix for Taiga Shield West ecozone
2,6,1,10,Insects-Boreal Shield West DM,Default Insects Disturbance Matrix for Boreal Shield West ecozone
2,7,1,10,Insects-Atlantic Maritime DM,Default Insects Disturbance Matrix for Atlantic Maritime ecozone
2,8,1,10,Insects-Mixedwood Plains DM,Default Insects Disturbance Matrix for Mixedwood Plains ecozone
2,9,1,10,Insects-Boreal plains DM,Default Insects Disturbance Matrix for Boreal plains ecozone
2,10,1,10,Insects-Subhumid Prairies DM,Default Insects Disturbance Matrix for Subhumid Prairies ecozone
2,11,1,10,Insects-Taiga Cordillera DM,Default Insects Disturbance Matrix for Taiga Cordillera ecozone
2,12,1,10,Insects-Boreal Cordillera DM,Default Insects Disturbance Matrix for Boreal Cordillera ecozone
2,13,1,10,Insects-Pacific Maritime DM,Default Insects Disturbance Matrix for Pacific Maritime ecozone
2,14,1,10,Insects-Montane Cordillera DM,Default Insects Disturbance Matrix for Montane Cordillera ecozone
2,15,1,10,Insects-Hudson Plains DM,Default Insects Disturbance Matrix for Hudson Plains ecozone
2,16,1,10,Insects-Taiga Shield East DM,Default Insects Disturbance Matrix for Taiga Shield East ecozone
2,17,1,10,Insects-Boreal Shield East DM,Default Insects Disturbance Matrix for Boreal Shield East ecozone
2,18,1,10,Insects-Semiarid Prairies DM,Default Insects Disturbance Matrix for Semiarid Prairies ecozone
3,4,1,142,Clearcut with slash-burn-Taiga Plains DM,Default Clearcut with slash-burn Disturbance Matrix for Taiga Plains ecozone
3,5,1,143,Clearcut with slash-burn-Taiga Shield West DM,Default Clearcut with slash-burn Disturbance Matrix for Taiga Shield West ecozone
3,6,1,145,Clearcut with slash-burn-Boreal Shield West DM,Default Clearcut with slash-burn Disturbance Matrix for Boreal Shield West ecozone
3,7,1,147,Clearcut with slash-burn-Atlantic Maritime DM,Default Clearcut with slash-burn Disturbance Matrix for Atlantic Maritime ecozone
3,8,1,148,Clearcut with slash-burn-Mixedwood Plains DM,Default Clearcut with slash-burn Disturbance Matrix for Mixedwood Plains ecozone
3,9,1,146,Clearcut with slash-burn-Boreal plains DM,Default Clearcut with slash-burn Disturbance Matrix for Boreal plains ecozone
3,10,1,149,Clearcut with slash-burn-Subhumid Prairies DM,Default Clearcut with slash-burn Disturbance Matrix for Subhumid Prairies ecozone
3,11,1,150,Clearcut with slash-burn-Taiga Cordillera DM,Default Clearcut with slash-burn Disturbance Matrix for Taiga Cordillera ecozone
3,12,1,151,Clearcut with slash-burn-Boreal Cordillera DM,Default Clearcut with slash-burn Disturbance Matrix for Boreal Cordillera ecozone
3,13,1,153,Clearcut with slash-burn-Pacific Maritime DM,Default Clearcut with slash-burn Disturbance Matrix for Pacific Maritime ecozone
3,14,1,152,Clearcut with slash-burn-Montane Cordillera DM,Default Clearcut with slash-burn Disturbance Matrix for Montane Cordillera ecozone
3,15,1,154,Clearcut with slash-burn-Hudson Plains DM,Default Clearcut with slash-burn Disturbance Matrix for Hudson Plains ecozone
3,16,1,144,Clearcut with slash-burn-Taiga Shield East DM,Default Clearcut with slash-burn Disturbance Matrix for Taiga Shield East ecozone
3,17,1,155,Clearcut with slash-burn-Boreal Shield East DM,Default Clearcut with slash-burn Disturbance Matrix for Boreal Shield East ecozone
3,18,1,149,Clearcut with slash-burn-Semiarid Prairies DM,Default Clearcut with slash-burn Disturbance Matrix for Semiarid Prairies ecozone
4,4,1,16,Clearcut harvesting-Taiga Plains DM,Default Clearcut harvesting Disturbance Matrix for Taiga Plains ecozone
4,5,1,16,Clearcut harvesting-Taiga Shield West DM,Default Clearcut harvesting Disturbance Matrix for Taiga Shield West ecozone
4,6,1,16,Clearcut harvesting-Boreal Shield West DM,Default Clearcut harvesting Disturbance Matrix for Boreal Shield West ecozone
4,7,1,16,Clearcut harvesting-Atlantic Maritime DM,Default Clearcut harvesting Disturbance Matrix for Atlantic Maritime ecozone
4,8,1,16,Clearcut harvesting-Mixedwood Plains DM,Default Clearcut harvesting Disturbance Matrix for Mixedwood Plains ecozone
4,9,1,16,Clearcut harvesting-Boreal plains DM,Default Clearcut harvesting Disturbance Matrix for Boreal plains ecozone
4,10,1,16,Clearcut harvesting-Subhumid Prairies DM,Default Clearcut harvesting Disturbance Matrix for Subhumid Prairies ecozone
4,11,1,16,Clearcut harvesting-Taiga Cordillera DM,Default Clearcut harvesting Disturbance Matrix for Taiga Cordillera ecozone
4,12,1,16,Clearcut harvesting-Boreal Cordillera DM,Default Clearcut harvesting Disturbance Matrix for Boreal Cordillera ecozone
4,13,1,16,Clearcut harvesting-Pacific Maritime DM,Default Clearcut harvesting Disturbance Matrix for Pacific Maritime ecozone
4,14,1,16,Clearcut harvesting-Montane Cordillera DM,Default Clearcut harvesting Disturbance Matrix for Montane Cordillera ecozone
4,15,1,16,Clearcut harvesting-Hudson Plains DM,Default Clearcut harvesting Disturbance Matrix for Hudson Plains ecozone
4,16,1,16,Clearcut harvesting-Taiga Shield East DM,Default Clearcut harvesting Disturbance Matrix for Taiga Shield East ecozone
4,17,1,16,Clearcut harvesting-Boreal Shield East DM,Default Clearcut harvesting Disturbance Matrix for Boreal Shield East ecozone
4,18,1,16,Clearcut harvesting-Semiarid Prairies DM,Default Clearcut harvesting Disturbance Matrix for Semiarid Prairies ecozone
5,4,1,18,Fire with salvage logging -Taiga Plains DM,Default Fire with salvage logging Disturbance Matrix for Taiga Plains ecozone
5,5,1,18,Fire with salvage logging -Taiga Shield West DM,Default Fire with salvage logging Disturbance Matrix for Taiga Shield West ecozone
5,6,1,19,Fire with salvage logging -Boreal Shield West DM,Default Fire with salvage logging Disturbance Matrix for Boreal Shield West ecozone
5,7,1,20,Fire with salvage logging -Atlantic Maritime DM,Default Fire with salvage logging Disturbance Matrix for Atlantic Maritime ecozone
5,8,1,20,Fire with salvage logging -Mixedwood Plains DM,Default Fire with salvage logging Disturbance Matrix for Mixedwood Plains ecozone
5,9,1,19,Fire with salvage logging -Boreal plains DM,Default Fire with salvage logging Disturbance Matrix for Boreal plains ecozone
5,10,1,21,Fire with salvage logging -Subhumid Prairies DM,Default Fire with salvage logging Disturbance Matrix for Subhumid Prairies ecozone
5,11,1,21,Fire with salvage logging -Taiga Cordillera DM,Default Fire with salvage logging Disturbance Matrix for Taiga Cordillera ecozone
5,12,1,22,Fire with salvage logging -Boreal Cordillera DM,Default Fire with salvage logging Disturbance Matrix for Boreal Cordillera ecozone
5,13,1,23,Fire with salvage logging -Pacific Maritime DM,Default Fire with salvage logging Disturbance Matrix for Pacific Maritime ecozone
5,14,1,22,Fire with salvage logging -Montane Cordillera DM,Default Fire with salvage logging Disturbance Matrix for Montane Cordillera ecozone
5,15,1,24,Fire with salvage logging -Hudson Plains DM,Default Fire with salvage logging Disturbance Matrix for Hudson Plains ecozone
5,16,1,18,Fire with salvage logging -Taiga Shield East DM,Default Fire with salvage logging Disturbance Matrix for Taiga Shield East ecozone
5,17,1,24,Fire with salvage logging -Boreal Shield East DM,Default Fire with salvage logging Disturbance Matrix for Boreal Shield East ecozone
5,18,1,21,Fire with salvage logging -Semiarid Prairies DM,Default Fire with salvage logging Disturbance Matrix for Semiarid Prairies ecozone
6,4,1,25,Insects with salvage logging -Taiga Plains DM,Default Insects with salvage logging Disturbance Matrix for Taiga Plains ecozone
6,5,1,25,Insects with salvage logging -Taiga Shield West DM,Default Insects with salvage logging Disturbance Matrix for Taiga Shield West ecozone
6,6,1,25,Insects with salvage logging -Boreal Shield West DM,Default Insects with salvage logging Disturbance Matrix for Boreal Shield West ecozone
6,7,1,25,Insects with salvage logging -Atlantic Maritime DM,Default Insects with salvage logging Disturbance Matrix for Atlantic Maritime ecozone
6,8,1,25,Insects with salvage logging -Mixedwood Plains DM,Default Insects with salvage logging Disturbance Matrix for Mixedwood Plains ecozone
6,9,1,25,Insects with salvage logging -Boreal plains DM,Default Insects with salvage logging Disturbance Matrix for Boreal plains ecozone
6,10,1,25,Insects with salvage logging -Subhumid Prairies DM,Default Insects with salvage logging Disturbance Matrix for Subhumid Prairies ecozone
6,11,1,25,Insects with salvage logging -Taiga Cordillera DM,Default Insects with salvage logging Disturbance Matrix for Taiga Cordillera ecozone
6,12,1,25,Insects with salvage logging -Boreal Cordillera DM,Default Insects with salvage logging Disturbance Matrix for Boreal Cordillera ecozone
6,13,1,25,Insects with salvage logging -Pacific Maritime DM,Default Insects with salvage logging Disturbance Matrix for Pacific Maritime ecozone
6,14,1,25,Insects with salvage logging -Montane Cordillera DM,Default Insects with salvage logging Disturbance Matrix for Montane Cordillera ecozone
6,15,1,25,Insects with salvage logging -Hudson Plains DM,Default Insects with salvage logging Disturbance Matrix for Hudson Plains ecozone
6,16,1,25,Insects with salvage logging -Taiga Shield East DM,Default Insects with salvage logging Disturbance Matrix for Taiga Shield East ecozone
6,17,1,25,Insects with salvage logging -Boreal Shield East DM,Default Insects with salvage logging Disturbance Matrix for Boreal Shield East ecozone
6,18,1,25,Insects with salvage logging -Semiarid Prairies DM,Default Insects with salvage logging Disturbance Matrix for Semiarid Prairies ecozone
7,4,1,26,Deforestation-Taiga Plains DM,Default Deforestation Disturbance Matrix for Taiga Plains ecozone
7,5,1,26,Deforestation-Taiga Shield West DM,Default Deforestation Disturbance Matrix for Taiga Shield West ecozone
7,6,1,26,Deforestation-Boreal Shield West DM,Default Deforestation Disturbance Matrix for Boreal Shield West ecozone
7,7,1,26,Deforestation-Atlantic Maritime DM,Default Deforestation Disturbance Matrix for Atlantic Maritime ecozone
7,8,1,26,Deforestation-Mixedwood Plains DM,Default Deforestation Disturbance Matrix for Mixedwood Plains ecozone
7,9,1,26,Deforestation-Boreal plains DM,Default Deforestation Disturbance Matrix for Boreal plains ecozone
7,10,1,26,Deforestation-Subhumid Prairies DM,Default Deforestation Disturbance Matrix for Subhumid Prairies ecozone
7,11,1,26,Deforestation-Taiga Cordillera DM,Default Deforestation Disturbance Matrix for Taiga Cordillera ecozone
7,12,1,26,Deforestation-Boreal Cordillera DM,Default Deforestation Disturbance Matrix for Boreal Cordillera ecozone
7,13,1,26,Deforestation-Pacific Maritime DM,Default Deforestation Disturbance Matrix for Pacific Maritime ecozone
7,14,1,26,Deforestation-Montane Cordillera DM,Default Deforestation Disturbance Matrix for Montane Cordillera ecozone
7,15,1,26,Deforestation-Hudson Plains DM,Default Deforestation Disturbance Matrix for Hudson Plains ecozone
7,16,1,26,Deforestation-Taiga Shield East DM,Default Deforestation Disturbance Matrix for Taiga Shield East ecozone
7,17,1,26,Deforestation-Boreal Shield East DM,Default Deforestation Disturbance Matrix for Boreal Shield East ecozone
7,18,1,26,Deforestation-Semiarid Prairies DM,Default Deforestation Disturbance Matrix for Semiarid Prairies ecozone
8,4,1,27,Afforestation-Taiga Plains DM,Default Afforestation Disturbance Matrix for Taiga Plains ecozone
8,5,1,27,Afforestation-Taiga Shield West DM,Default Afforestation Disturbance Matrix for Taiga Shield West ecozone
8,6,1,27,Afforestation-Boreal Shield West DM,Default Afforestation Disturbance Matrix for Boreal Shield West ecozone
8,7,1,27,Afforestation-Atlantic Maritime DM,Default Afforestation Disturbance Matrix for Atlantic Maritime ecozone
8,8,1,27,Afforestation-Mixedwood Plains DM,Default Afforestation Disturbance Matrix for Mixedwood Plains ecozone
8,9,1,27,Afforestation-Boreal plains DM,Default Afforestation Disturbance Matrix for Boreal plains ecozone
8,10,1,27,Afforestation-Subhumid Prairies DM,Default Afforestation Disturbance Matrix for Subhumid Prairies ecozone
8,11,1,27,Afforestation-Taiga Cordillera DM,Default Afforestation Disturbance Matrix for Taiga Cordillera ecozone
8,12,1,27,Afforestation-Boreal Cordillera DM,Default Afforestation Disturbance Matrix for Boreal Cordillera ecozone
8,13,1,27,Afforestation-Pacific Maritime DM,Default Afforestation Disturbance Matrix for Pacific Maritime ecozone
8,14,1,27,Afforestation-Montane Cordillera DM,Default Afforestation Disturbance Matrix for Montane Cordillera ecozone
8,15,1,27,Afforestation-Hudson Plains DM,Default Afforestation Disturbance Matrix for Hudson Plains ecozone
8,16,1,27,Afforestation-Taiga Shield East DM,Default Afforestation Disturbance Matrix for Taiga Shield East ecozone
8,17,1,27,Afforestation-Boreal Shield East DM,Default Afforestation Disturbance Matrix for Boreal Shield East ecozone
8,18,1,27,Afforestation-Semiarid Prairies DM,Default Afforestation Disturbance Matrix for Semiarid Prairies ecozone
9,4,1,156,Natural non-forest rehabilitation-Taiga Plains DM,Default Natural non-forest rehabilitation Disturbance Matrix for Taiga Plains ecozone
9,5,1,156,Natural non-forest rehabilitation-Taiga Shield West DM,Default Natural non-forest rehabilitation Disturbance Matrix for Taiga Shield West ecozone
9,6,1,156,Natural non-forest rehabilitation-Boreal Shield West DM,Default Natural non-forest rehabilitation Disturbance Matrix for Boreal Shield West ecozone
9,7,1,156,Natural non-forest rehabilitation-Atlantic Maritime DM,Default Natural non-forest rehabilitation Disturbance Matrix for Atlantic Maritime ecozone
9,8,1,156,Natural non-forest rehabilitation-Mixedwood Plains DM,Default Natural non-forest rehabilitation Disturbance Matrix for Mixedwood Plains ecozone
9,9,1,156,Natural non-forest rehabilitation-Boreal plains DM,Default Natural non-forest rehabilitation Disturbance Matrix for Boreal plains ecozone
9,10,1,156,Natural non-forest rehabilitation-Subhumid Prairies DM,Default Natural non-forest rehabilitation Disturbance Matrix for Subhumid Prairies ecozone
9,11,1,156,Natural non-forest rehabilitation-Taiga Cordillera DM,Default Natural non-forest rehabilitation Disturbance Matrix for Taiga Cordillera ecozone
9,12,1,156,Natural non-forest rehabilitation-Boreal Cordillera DM,Default Natural non-forest rehabilitation Disturbance Matrix for Boreal Cordillera ecozone
9,13,1,156,Natural non-forest rehabilitation-Pacific Maritime DM,Default Natural non-forest rehabilitation Disturbance Matrix for Pacific Maritime ecozone
9,14,1,156,Natural non-forest rehabilitation-Montane Cordillera DM,Default Natural non-forest rehabilitation Disturbance Matrix for Montane Cordillera ecozone
9,15,1,156,Natural non-forest rehabilitation-Hudson Plains DM,Default Natural non-forest rehabilitation Disturbance Matrix for Hudson Plains ecozone
9,16,1,156,Natural non-forest rehabilitation-Taiga Shield East DM,Default Natural non-forest rehabilitation Disturbance Matrix for Taiga Shield East ecozone
9,17,1,156,Natural non-forest rehabilitation-Boreal Shield East DM,Default Natural non-forest rehabilitation Disturbance Matrix for Boreal Shield East ecozone
9,18,1,156,Natural non-forest rehabilitation-Semiarid Prairies DM,Default Natural non-forest rehabilitation Disturbance Matrix for Semiarid Prairies ecozone
10,4,1,28,Partial cutting-Taiga Plains DM,Default Partial cutting Disturbance Matrix for Taiga Plains ecozone
10,5,1,28,Partial cutting-Taiga Shield West DM,Default Partial cutting Disturbance Matrix for Taiga Shield West ecozone
10,6,1,28,Partial cutting-Boreal Shield West DM,Default Partial cutting Disturbance Matrix for Boreal Shield West ecozone
10,7,1,28,Partial cutting-Atlantic Maritime DM,Default Partial cutting Disturbance Matrix for Atlantic Maritime ecozone
10,8,1,28,Partial cutting-Mixedwood Plains DM,Default Partial cutting Disturbance Matrix for Mixedwood Plains ecozone
10,9,1,28,Partial cutting-Boreal plains DM,Default Partial cutting Disturbance Matrix for Boreal plains ecozone
10,10,1,28,Partial cutting-Subhumid Prairies DM,Default Partial cutting Disturbance Matrix for Subhumid Prairies ecozone
10,11,1,28,Partial cutting-Taiga Cordillera DM,Default Partial cutting Disturbance Matrix for Taiga Cordillera ecozone
10,12,1,28,Partial cutting-Boreal Cordillera DM,Default Partial cutting Disturbance Matrix for Boreal Cordillera ecozone
10,13,1,28,Partial cutting-Pacific Maritime DM,Default Partial cutting Disturbance Matrix for Pacific Maritime ecozone
10,14,1,28,Partial cutting-Montane Cordillera DM,Default Partial cutting Disturbance Matrix for Montane Cordillera ecozone
10,15,1,28,Partial cutting-Hudson Plains DM,Default Partial cutting Disturbance Matrix for Hudson Plains ecozone
10,16,1,28,Partial cutting-Taiga Shield East DM,Default Partial cutting Disturbance Matrix for Taiga Shield East ecozone
10,17,1,28,Partial cutting-Boreal Shield East DM,Default Partial cutting Disturbance Matrix for Boreal Shield East ecozone
10,18,1,28,Partial cutting-Semiarid Prairies DM,Default Partial cutting Disturbance Matrix for Semiarid Prairies ecozone
11,4,1,27,Natural Succession-Taiga Plains DM,Default Natural Succession Disturbance Matrix for Taiga Plains ecozone
11,5,1,27,Natural Succession-Taiga Shield West DM,Default Natural Succession Disturbance Matrix for Taiga Shield West ecozone
11,6,1,27,Natural Succession-Boreal Shield West DM,Default Natural Succession Disturbance Matrix for Boreal Shield West ecozone
11,7,1,27,Natural Succession-Atlantic Maritime DM,Default Natural Succession Disturbance Matrix for Atlantic Maritime ecozone
11,8,1,27,Natural Succession-Mixedwood Plains DM,Default Natural Succession Disturbance Matrix for Mixedwood Plains ecozone
11,9,1,27,Natural Succession-Boreal plains DM,Default Natural Succession Disturbance Matrix for Boreal plains ecozone
11,10,1,27,Natural Succession-Subhumid Prairies DM,Default Natural Succession Disturbance Matrix for Subhumid Prairies ecozone
11,11,1,27,Natural Succession-Taiga Cordillera DM,Default Natural Succession Disturbance Matrix for Taiga Cordillera ecozone
11,12,1,27,Natural Succession-Boreal Cordillera DM,Default Natural Succession Disturbance Matrix for Boreal Cordillera ecozone
11,13,1,27,Natural Succession-Pacific Maritime DM,Default Natural Succession Disturbance Matrix for Pacific Maritime ecozone
11,14,1,27,Natural Succession-Montane Cordillera DM,Default Natural Succession Disturbance Matrix for Montane Cordillera ecozone
11,15,1,27,Natural Succession-Hudson Plains DM,Default Natural Succession Disturbance Matrix for Hudson Plains ecozone
11,16,1,27,Natural Succession-Taiga Shield East DM,Default Natural Succession Disturbance Matrix for Taiga Shield East ecozone
11,17,1,27,Natural Succession-Boreal Shield East DM,Default Natural Succession Disturbance Matrix for Boreal Shield East ecozone
11,18,1,27,Natural Succession-Semiarid Prairies DM,Default Natural Succession Disturbance Matrix for Semiarid Prairies ecozone
12,5,1,29,WJPBW - Year 1 (Taiga Shield West),Default Western Jack Pine Bud Worm - Year 1 of outbreak Disturbance Matrix
12,6,1,29,WJPBW - Year 1 (Boreal Shield West),Default Western Jack Pine Bud Worm - Year 1 of outbreak Disturbance Matrix
12,9,1,29,WJPBW - Year 1 (Boreal Plains),Default Western Jack Pine Bud Worm - Year 1 of outbreak Disturbance Matrix
12,10,1,29,WJPBW - Year 1 (Subhumid Prairies),Default Western Jack Pine Bud Worm - Year 1 of outbreak Disturbance Matrix
12,18,1,29,WJPBW - Year 1 (Semiarid Prairies),Default Western Jack Pine Bud Worm - Year 1 of outbreak Disturbance Matrix
13,5,1,30,WJPBW - Year 2 (Taiga Shield West),Default Western Jack Pine Bud Worm - Year 2 of outbreak Disturbance Matrix
13,6,1,30,WJPBW - Year 2 (Boreal Shield West),Default Western Jack Pine Bud Worm - Year 2 of outbreak Disturbance Matrix
13,9,1,30,WJPBW - Year 2 (Boreal Plains),Default Western Jack Pine Bud Worm - Year 2 of outbreak Disturbance Matrix
13,10,1,30,WJPBW - Year 2 (Subhumid Prairies),Default Western Jack Pine Bud Worm - Year 2 of outbreak Disturbance Matrix
13,18,1,30,WJPBW - Year 2 (Semiarid Prairies),Default Western Jack Pine Bud Worm - Year 2 of outbreak Disturbance Matrix
14,5,1,31,WJPBW - Year 3 (Taiga Shield West),Default Western Jack Pine Bud Worm - Year 3 of outbreak Disturbance Matrix
14,6,1,31,WJPBW - Year 3 (Boreal Shield West),Default Western Jack Pine Bud Worm - Year 3 of outbreak Disturbance Matrix
14,9,1,31,WJPBW - Year 3 (Boreal Plains),Default Western Jack Pine Bud Worm - Year 3 of outbreak Disturbance Matrix
14,10,1,31,WJPBW - Year 3 (Subhumid Prairies),Default Western Jack Pine Bud Worm - Year 3 of outbreak Disturbance Matrix
14,18,1,31,WJPBW - Year 3 (Semiarid Prairies),Default Western Jack Pine Bud Worm - Year 3 of outbreak Disturbance Matrix
15,5,1,32,WJPBW - Year 4 (Taiga Shield West),Default Western Jack Pine Bud Worm - Year 4 of outbreak Disturbance Matrix
15,6,1,32,WJPBW - Year 4 (Boreal Shield West),Default Western Jack Pine Bud Worm - Year 4 of outbreak Disturbance Matrix
15,9,1,32,WJPBW - Year 4 (Boreal Plains),Default Western Jack Pine Bud Worm - Year 4 of outbreak Disturbance Matrix
15,10,1,32,WJPBW - Year 4 (Subhumid Prairies),Default Western Jack Pine Bud Worm - Year 4 of outbreak Disturbance Matrix
15,18,1,32,WJPBW - Year 4 (Semiarid Prairies),Default Western Jack Pine Bud Worm - Year 4 of outbreak Disturbance Matrix
16,4,1,33,Aspen Defoliators Type A (Taiga Plains),Default Aspen Defoliators - Type A Disturbance Matrix
16,5,1,33,Aspen Defoliators Type A (Taiga Shield West),Default Aspen Defoliators - Type A Disturbance Matrix
16,6,1,33,Aspen Defoliators Type A (Boreal Shield West),Default Aspen Defoliators - Type A Disturbance Matrix
16,9,1,33,Aspen Defoliators Type A (Boreal Plains),Default Aspen Defoliators - Type A Disturbance Matrix
16,10,1,33,Aspen Defoliators Type A (Subhumid Prairies),Default Aspen Defoliators - Type A Disturbance Matrix
16,14,1,33,Aspen Defoliators Type A (Montane Cordillera),Default Aspen Defoliators - Type A Disturbance Matrix
16,18,1,33,Aspen Defoliators Type A (Semiarid Prairies),Default Aspen Defoliators - Type A Disturbance Matrix
17,4,1,34,Aspen Defoliators Type B (Taiga Plains),Default Aspen Defoliators - Type B Disturbance Matrix
17,5,1,34,Aspen Defoliators Type B (Taiga Shield West),Default Aspen Defoliators - Type B Disturbance Matrix
17,6,1,34,Aspen Defoliators Type B (Boreal Shield West),Default Aspen Defoliators - Type B Disturbance Matrix
17,9,1,34,Aspen Defoliators Type B (Boreal Plains),Default Aspen Defoliators - Type B Disturbance Matrix
17,10,1,34,Aspen Defoliators Type B (Subhumid Prairies),Default Aspen Defoliators - Type B Disturbance Matrix
17,14,1,34,Aspen Defoliators Type B (Montane Cordillera),Default Aspen Defoliators - Type B Disturbance Matrix
17,18,1,34,Aspen Defoliators Type B (Semiarid Prairies),Default Aspen Defoliators - Type B Disturbance Matrix
18,4,1,35,Aspen Defoliators Type C (Taiga Plains),Default Aspen Defoliators - Type C Disturbance Matrix
18,5,1,35,Aspen Defoliators Type C (Taiga Shield West),Default Aspen Defoliators - Type C Disturbance Matrix
18,6,1,35,Aspen Defoliators Type C (Boreal Shield West),Default Aspen Defoliators - Type C Disturbance Matrix
18,9,1,35,Aspen Defoliators Type C (Boreal Plains),Default Aspen Defoliators - Type C Disturbance Matrix
18,10,1,35,Aspen Defoliators Type C (Subhumid Prairies),Default Aspen Defoliators - Type C Disturbance Matrix
18,14,1,35,Aspen Defoliators Type C (Montane Cordillera),Default Aspen Defoliators - Type C Disturbance Matrix
18,18,1,35,Aspen Defoliators Type C (Semiarid Prairies),Default Aspen Defoliators - Type C Disturbance Matrix
19,4,1,36,Aspen Defoliators Type D (Taiga Plains),Default Aspen Defoliators - Type D Disturbance Matrix
19,5,1,36,Aspen Defoliators Type D (Taiga Shield West),Default Aspen Defoliators - Type D Disturbance Matrix
19,6,1,36,Aspen Defoliators Type D (Boreal Shield West),Default Aspen Defoliators - Type D Disturbance Matrix
19,9,1,36,Aspen Defoliators Type D (Boreal Plains),Default Aspen Defoliators - Type D Disturbance Matrix
19,10,1,36,Aspen Defoliators Type D (Subhumid Prairies),Default Aspen Defoliators - Type D Disturbance Matrix
19,14,1,36,Aspen Defoliators Type D (Montane Cordillera),Default Aspen Defoliators - Type D Disturbance Matrix
19,18,1,36,Aspen Defoliators Type D (Semiarid Prairies),Default Aspen Defoliators - Type D Disturbance Matrix
20,4,1,37,Aspen Defoliators Type E (Taiga Plains),Default Aspen Defoliators - Type E Disturbance Matrix
20,5,1,37,Aspen Defoliators Type E (Taiga Shield West),Default Aspen Defoliators - Type E Disturbance Matrix
20,6,1,37,Aspen Defoliators Type E (Boreal Shield West),Default Aspen Defoliators - Type E Disturbance Matrix
20,9,1,37,Aspen Defoliators Type E (Boreal Plains),Default Aspen Defoliators - Type E Disturbance Matrix
20,10,1,37,Aspen Defoliators Type E (Subhumid Prairies),Default Aspen Defoliators - Type E Disturbance Matrix
